Gender,USCitizen,English,POE,BooksReadSummer,ReadProgHS,PartReadProgHS,OwnBookSummer,PercentReadSummer,WhyNotRead,OtherReasonsNot,FamilyRead,SummerSurvey,QuizScore,FirstGen,PercentReadSummerFollowup,PercentReadSemester,Reread,CWSRead,CWSWrite,Think,Challenge,EnjoyBook,EventAdd,CourseEffect,FollowupSurvey,Book,Year,PercentReadSemesterM,ReadSummer,ReadFollowup,ReadSemester,Read,AttendEvent,ConversationsCount,ConversationsWith,BookLength,BookDifficulty,KnowSummerRead,WhichOrientation
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,No,100,100,Yes,All of the book,Formal Essay for CWS,3,3,3,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,3,"Individual, Group",4,4,Classmate,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,No,1,0,No,The book was not assigned.,None,2,4,3,,No,Yes,Handmaid's Tale,2017,1,No,No,No,No,No,2,Individual,4,4,Classmate,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,No,1,0,No,The book was not assigned.,None,4,4,4,5,No,Yes,Handmaid's Tale,2017,1,No,No,No,No,Yes,5,"Individual, Group",4,4,Classmate,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,Yes,85,95,Yes,Some of the chapters in the book.,Formal Essay for CWS,5,5,5,5,No,Yes,Handmaid's Tale,2017,95,No,Yes,Yes,Yes,Yes,,Group,4,4,Classmate,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,Yes,30,70,No,All of the book,Response/Reflection Paper,2,3,5,,No,Yes,Handmaid's Tale,2017,70,No,No,No,No,No,2,Individual,4,4,Classmate,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,No,100,0,No,The book was not assigned.,None,4,3,5,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,0,,4,4,Classmate,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,No,100,100,Yes,All of the book,Formal Essay for CWS,2,3,3,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,,,4,4,Classmate,June
Female,Yes,Yes,Humanities,3,No,No,Yes,100,,,Yes,Yes,0.75,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,4,1,Read on my own previously,August
Female,Yes,Yes,Humanities,1,Yes,Yes,Yes,100,,,No,Yes,1,No,100,0,No,The book was not assigned.,None,4,4,5,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,0,,3,4,Email,June
Female,Yes,Yes,Humanities,2,No,No,Yes,100,,,No,Yes,,Yes,100,100,No,The book was not assigned.,None,5,5,5,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,2,Individual,3,1,Email,June
